id,category,createdate,updatedate,name,romancetext,websiteurl,imageurl,relatedbrands
616746f2e9b64e09dda400dc,Grocery,1634158322512,1634158969025,7NOW,"The 7‑Eleven brand is known and loved around the world, and our iconic products are a big part of the American culture. And although we’ve grown significantly over the years, our focus stays fixed on making life easier for customers.",https://www.7now.com/home,NULL,NULL
6155c27e4878a47d241444a7,Snacks,1633010302330,1633010302330,Clif Bar Duos,NULL,NULL,NULL,NULL
614114de49868a649825d21a,Restaurants,1631655134332,1631655134332,Restaurant & Rewards,NULL,NULL,NULL,NULL
6141165cfb6ebf129a6ac68b,Restaurants,1631655516559,1632235682300,Restaurants & Rewards,"Our Restaurants & Rewards celebration is live, now through 9/26. There are plenty of reasons to get excited and dig in, including earning an extra 25 points on all restaurant receipts, Special Offers from popular restaurants, and we’ll be giving away millions of points in prizes.",NULL,https://cdn.images.fetchrewards.com/brands/6f834c849c749ad21c6fbd2c8ce60dd5ea20c5d3.png,"{611e69752b434d3de53f42bb,60db56dfc1c99202a7cbef58,60db33bdc1c99202a7cbef56,60e87288168e743191c75991}"
5332f5fbe4b03c9a25efd0bb,Beverages,NULL,1633367733848,Mountain Dew,Do the Dew.,http://www.mountaindew.com/products/mtn-dew,http://cdn.images.fetchrewards.com/brands/dad6c1b690e160ba3419b26286b9b65efe94778f.png,{615b36aa4878a47d241444a9}
5bd2011f90fa074576779a17,Baby,1540489503500,1634299644970,Huggies,"The first moment you hug your baby, the rest of the world slowly melts away. Huggies understands there is nothing more powerful than that moment and every moment that follows. That's why they designed their diapers to feel the same way. Trust Huggies diapers and wipes through every family moment.",https://www.huggies.com/en-us/#expecting-mom,http://cdn.images.fetchrewards.com/brands/7772c20e320131a14ba0c4bb2b108cce36b5cf93.png,"{5da603a71dda2c3e1416ae82,5332f775e4b03c9a25efd127,5c112616315a241ba1716511,5bd201a990fa074576779a19}"
5332f774e4b03c9a25efd126,Health & Wellness,NULL,1627657763837,Fiber One,Fiber One is the perfect treat for those who are snacking by their own rules. It’s a moment of “me time pleasure” that stands apart from a world of so many shoulds and should nots.,https://www.fiberone.com,https://cdn.images.fetchrewards.com/brands/f96863b10f31fafb53410d61271a68e1a85a12b7.png,"{5d6415d5a3a018514994f429,5daf2a6b1dda2c3e1416ae91,585a970ee4b03e62d1ce0e91}"
5daf33e71dda2c3e1416ae93,Snacks,1571763175173,1628197399531,LARABAR,"LÄRABAR products are just a simple blend of just 2-9 real ingredients like whole nuts and fruits – and sometimes delicious chocolate chips! No artificial flavors, preservatives or sweeteners. Simply put, it's food made from food.",https://www.larabar.com/our-products,http://cdn.images.fetchrewards.com/brands/6327b065fe873dd56e0605fe549cc6837e2b06b8.png,"{5d66d9016d5f3b6188d4f04a,5daf3507a60b87376833e35c,592486bfe410d61fcea3d139}"
5e6bb6fd5d56cb1295f59ab8,"Beer, Hard Cider & Seltzer",1584117501394,1628803325172,Keylightful,Keylightful brings together a refreshingly sweet duo of raspberry and lime twisted with a splash of your always smooth go-to beer.,https://www.keystonelight.com/av?url=https://www.keystonelight.com/,http://cdn.images.fetchrewards.com/brands/9bc444e88baa0f612bbdf74efdfd68fbe5ecb648.png,{57e5810ce4b0ac389136a307}
5fed4cfbac99f041f08015a7,Health & Wellness,1609387259285,1634243697239,Lotrimin®,"Lotrimin® is the #1 Antifungal OTC Brand, and offers a range of products to cure most athlete’s foot, jock itch and ringworm, as well as a line of products to prevent most athlete’s foot. When you choose Lotrimin, you can Go with Confidence!",https://www.lotrimin.com/,https://cdn.images.fetchrewards.com/brands/0ad4eeb82aaa134ece4fa1fa75d5d3c13c4e520c.png,"{5da605dc1dda2c3e1416ae83,5ea302afac99f064b8c2740a,5e7cc6ef4f392912df7c86d1}"
